ID;Disciplina;Assunto;Assertiva;Gabarito;comentario;Assunto_Novo;Assunto_Corrigido
11;direiro previdenciário;Recursos das Decisões Administrativas;O sistema financeiro adotado pelo Regime Geral de Previdência Social (RGPS) é o de repartição simples, em que os recursos arrecadados dos atuais contribuintes são utilizados para pagar os benefícios dos segurados inativos, não havendo constituição de reservas individuais (capitalização).;C;Diferente do regime de capitalização, o RGPS adota o modelo de repartição simples (pacto intergeracional), onde os recursos recolhidos no presente custeiam os benefícios pagos no presente.;Recursos das Decisões Administrativas;Recursos das Decisões Administrativas
12;direiro previdenciário;Princípios e Objetivos da Seguridade Social;Sob a ótica objetiva, o princípio da universalidade da cobertura determina que o sistema de seguridade social deve buscar proteger os cidadãos contra todas as espécies de infortúnios e riscos sociais básicos catalogados.;C;A universalidade da cobertura refere-se à proteção objetiva (aos riscos sociais como doença, velhice, desemprego), enquanto a universalidade do atendimento refere-se aos sujeitos protegidos (todas as pessoas).;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
13;direiro previdenciário;Princípios e Objetivos da Seguridade Social;Por força do princípio da uniformidade e equivalência dos benefícios e serviços às populações urbanas e rurais, é inconstitucional e expressamente vedado exigir do trabalhador rural uma idade mínima para aposentadoria diferente daquela exigida para o trabalhador urbano.;E;A própria Constituição Federal traz essa distinção de idades (5 anos a menos para o trabalhador rural) visando tratar desigualmente os desiguais, o que não ofende o princípio da uniformidade.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
14;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da irredutibilidade do valor dos benefícios previdenciários assegura a manutenção do valor real e do poder aquisitivo dos benefícios, porém a Constituição proíbe que o reajuste desses benefícios seja vinculado ou atrelado à variação do salário-mínimo.;C;Os benefícios previdenciários mantêm o poder aquisitivo através de índices legais (como o INPC), mas a Constituição (art. 7º, IV) veda expressamente sua vinculação ao salário-mínimo.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
15;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da seletividade atua como um contrapeso à universalidade da cobertura, orientando o legislador a selecionar os benefícios e serviços mais essenciais a serem prestados em razão da limitação dos recursos públicos (reserva do possível).;C;Como os recursos são limitados, a seletividade exige do legislador escolher cobrir as necessidades e infortúnios mais urgentes e fundamentais da população.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
16;direiro previdenciário;Princípios e Objetivos da Seguridade Social;A diversidade da base de financiamento determina que a Seguridade Social seja financiada de forma concentrada, exclusivamente com base nas receitas oriundas da tributação sobre o faturamento e sobre a folha de salários das empresas.;E;A diversidade da base de financiamento significa exatamente que não deve haver concentração em uma única fonte, abarcando contribuições de empresas (folha, receita, lucro), de trabalhadores, de concursos de prognósticos, etc.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
17;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da equidade na forma de participação no custeio impõe que quem tem maior capacidade contributiva arque com ônus maior no financiamento da Seguridade Social, o que justifica a cobrança de alíquotas diferenciadas de contribuição para empresas de setores econômicos específicos.;C;Ligado à capacidade contributiva, este princípio permite que alíquotas sejam diferenciadas (ex: risco ambiental, setor financeiro) para que contribua com mais quem tem mais força econômica.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
18;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da preexistência do custeio determina que nenhum benefício ou serviço da Seguridade Social poderá ser criado, majorado ou estendido sem a correspondente e prévia fonte de custeio total.;C;Trata-se de previsão constitucional direta (art. 195, §5º) exigindo o equilíbrio e a fonte de recursos antes de se criar ou ampliar benefícios de qualquer um dos braços da Seguridade Social.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
19;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O Instituto Nacional do Seguro Social (INSS), autarquia federal encarregada de conceder e manter os benefícios previdenciários, foi criado no ano de 1990, resultante da fusão do INPS e do INAMPS.;E;O INSS surgiu em 1990 pela fusão do INPS (Previdência Social) com o IAPAS (Arrecadação e Fiscalização), e não com o INAMPS (que era voltado à assistência médica).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
20;direiro previdenciário;Assistência Social (LOAS/BPC);As ações governamentais ofertadas no âmbito do Sistema Único de Assistência Social (SUAS) têm o território como base de organização e são estruturadas em dois níveis de abrangência: proteção social básica e proteção social especial.;C;O SUAS organiza suas ações territorialmente, dividindo-se precipuamente em Proteção Social Básica (executada nos CRAS) e Proteção Social Especial (executada nos CREAS).;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
21;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Compete privativamente à União legislar sobre Seguridade Social e Previdência Social, não havendo espaço para a atuação legislativa concorrente dos Estados e do Distrito Federal nessas matérias.;E;A competência para legislar sobre Seguridade Social é privativa da União (art. 22, XXIII, da CF/88). No entanto, legislar sobre Previdência Social (junto com proteção e defesa da saúde) é matéria de competência concorrente entre União, Estados e DF (art. 24, XII, da CF/88).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
22;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;Com o advento da Emenda Constitucional nº 103/2019, a competência para legislar sobre inatividades e pensões das polícias militares e dos corpos de bombeiros militares passou a ser privativa da União.;C;A EC nº 103/2019 alterou o inciso XXI do art. 22 da CF/88, outorgando competência privativa à União para legislar sobre inatividades e pensões das polícias militares e corpos de bombeiros militares.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
23;direiro previdenciário;Legislação Previdenciária;As matérias do sistema de seguridade social que a Constituição Federal exige expressamente regulamentação por meio de lei complementar podem ser tratadas provisoriamente por Medida Provisória, desde que haja situação de relevância e urgência.;E;É expressamente vedada a edição de medidas provisórias sobre matéria reservada à lei complementar, conforme dispõe o art. 62, § 1º, inciso III da Constituição Federal.;Tópicos Mesclados / Outros (Previdenciário);Legislação Previdenciária
24;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Os tratados, convenções e outros acordos internacionais dos quais o Brasil seja parte, e que versem sobre matéria previdenciária, serão incorporados ao ordenamento jurídico e interpretados como norma constitucional originária.;E;Conforme o art. 85-A da Lei nº 8.212/91, os tratados e acordos internacionais que versem sobre matéria previdenciária serão interpretados como lei especial (e não norma constitucional).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
25;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O decreto é ato normativo expedido pelo Poder Executivo para regulamentar e dar fiel execução às leis previdenciárias, sendo considerado fonte secundária do Direito Previdenciário, pois não pode inovar no mundo jurídico criando novos direitos e obrigações.;C;O decreto não pode ultrapassar o alcance da lei. Ele apenas a regulamenta (explicita), sendo fonte secundária porque não inova criando direitos e obrigações originários.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
26;direiro previdenciário;Princípios e Objetivos da Seguridade Social;Em matéria previdenciária, vigora o princípio do tempus regit actum, o qual determina que a concessão de pensão por morte deve observar estritamente a legislação vigente na data do óbito do segurado, conforme entendimento sumulado pelo STJ.;C;Segundo a Súmula nº 340 do Superior Tribunal de Justiça (STJ), a lei aplicável à concessão de pensão previdenciária por morte é aquela vigente na data do óbito do segurado.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
27;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da territorialidade na aplicação da lei previdenciária é absoluto, de modo que a proteção social brasileira se restringe às fronteiras do território nacional, não abrangendo brasileiros que prestam serviços à União no exterior.;E;O princípio da territorialidade comporta exceções (extraterritorialidade), abrangendo, por exemplo, brasileiros civis que trabalham para a União no exterior em organismos oficiais, desde que não segurados pela legislação do país de domicílio.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
28;direiro previdenciário;Princípios e Objetivos da Seguridade Social;Uma lei ordinária que venha a instituir ou majorar uma contribuição social para a Seguridade Social não precisa respeitar o prazo vacatio legis padrão de 45 dias, mas a cobrança dessa contribuição ficará sujeita ao princípio da noventena (90 dias).;C;De acordo com o princípio da anterioridade mitigada (ou noventena) previsto no art. 195, § 6º da CF/88, a cobrança de nova ou majorada contribuição social só terá eficácia após decorridos 90 dias da publicação da lei.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
29;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Na interpretação sistemática da norma previdenciária, o intérprete busca o sentido estrito da lei unicamente mediante a análise do significado literal, etimológico e gramatical das palavras utilizadas pelo legislador no texto normativo.;E;A descrição refere-se à interpretação literal (ou gramatical). Na interpretação sistemática, o intérprete analisa a norma partindo do entendimento de que todas as regras jurídicas possuem um nexo e são parte de um sistema jurídico amplo.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
30;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);A interpretação autêntica (ou legislativa) da norma previdenciária é aquela exercida privativamente pelos Tribunais Superiores quando da fixação de teses de repercussão geral ou súmulas vinculantes.;E;A interpretação autêntica ou legal ocorre quando o próprio Poder Legislativo elabora uma nova lei para interpretar o sentido e alcance de uma lei editada anteriormente.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
31;direiro previdenciário;Legislação Previdenciária;A analogia, como método de integração da legislação previdenciária, atua como instrumento de realização concreta da justiça, valendo-se do senso do aplicador para preencher a lacuna normativa quando a aplicação rígida da lei for repugnante à coletividade.;E;O conceito descrito na questão refere-se à Equidade, e não à Analogia. A analogia consiste na aplicação de uma norma legal existente, prevista para uma situação semelhante, a um caso sem preceito legal expresso.;Legislação Previdenciária;Legislação Previdenciária
32;direiro previdenciário;Legislação Previdenciária;Os costumes são considerados fontes materiais primárias do Direito Previdenciário, podendo, em caso de lacuna legal, afastar a aplicação da Constituição Federal em nome da prática reiterada e aceita pela sociedade.;E;Os costumes são ferramentas de integração e fontes formais (não estatais) do Direito, mas não podem contrariar a lei, muito menos afastar dispositivos da Constituição Federal.;Legislação Previdenciária;Legislação Previdenciária
33;direiro previdenciário;Princípios e Objetivos da Seguridade Social;A doutrina majoritária não reconhece a autonomia do Direito Previdenciário, considerando-o um mero sub-ramo do Direito do Trabalho, já que não dispõe de princípios próprios nem conceitos exclusivos.;E;O Direito Previdenciário possui forte autonomia didática e científica, abrangendo um conjunto de princípios próprios e conceitos exclusivos (como salário de contribuição e salário de benefício), distintos do Direito do Trabalho.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
34;direiro previdenciário;Legislação Previdenciária;As instruções normativas e as portarias expedidas pelo Presidente do INSS são consideradas fontes secundárias da legislação previdenciária, destinando-se a orientar a atuação interna e o fiel cumprimento das leis.;C;Instruções Normativas (como a IN PRES/INSS nº 128/2022) e portarias são atos administrativos que não inovam na ordem jurídica (não criam leis), enquadrando-se perfeitamente como fontes secundárias.;Legislação Previdenciária;Legislação Previdenciária
35;direiro previdenciário;Princípios e Objetivos da Seguridade Social;Em caso de conflito normativo entre duas leis ordinárias federais de mesma hierarquia que tratem da mesma questão previdenciária, a doutrina autoriza a aplicação do princípio in dubio pro misero, adotando-se a regra mais favorável ao segurado.;C;"O princípio ""in dubio pro misero"" permite que, existindo duas normas equivalentes que tratem do mesmo assunto de forma conflituosa, aplique-se aquela que for mais benéfica ao beneficiário/segurado.";Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
36;direiro previdenciário;Do Cálculo do Valor do Benefício;A lei previdenciária, caso não possua cláusula expressa determinando a data do início de sua vigência, entrará em vigor em todo o país 45 dias depois de oficialmente publicada.;C;Esta é a regra geral estabelecida pelo art. 1º da Lei de Introdução às Normas do Direito Brasileiro (LINDB) aplicável também à legislação previdenciária.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
37;direiro previdenciário;Legislação Previdenciária;A interpretação restritiva da legislação previdenciária ocorre quando o legislador escreve no texto da lei menos do que efetivamente desejava, exigindo do intérprete a expansão do alcance da norma para casos análogos.;E;O enunciado descreve a interpretação Extensiva. Na interpretação restritiva, ocorre o inverso: o texto legal foi escrito de forma mais ampla do que a intenção da lei, cabendo ao intérprete restringir o seu alcance.;Legislação Previdenciária;Legislação Previdenciária
38;direiro previdenciário;Das Inscrições (RGPS);A jurisprudência, entendida como a decisão reiterada no mesmo sentido sobre a mesma matéria, atua como fonte do Direito Previdenciário, podendo, com as súmulas vinculantes do STF, obrigar o Poder Judiciário e a Administração Pública direta e indireta.;C;A jurisprudência é fonte formal do Direito Previdenciário, e as decisões com repercussão geral ou súmulas vinculantes do STF possuem aplicação obrigatória em toda a estrutura judiciária e administrativa nacional.;Tópicos Mesclados / Outros (Previdenciário);Das Inscrições (RGPS)
39;direiro previdenciário;Legislação Previdenciária;Para a edição de uma Medida Provisória em matéria previdenciária, exige-se quórum privilegiado de aprovação pela maioria absoluta do Congresso Nacional antes de sua publicação no Diário Oficial da União.;E;A Medida Provisória é um ato editado unilateralmente pelo Poder Executivo (Presidente da República) com força imediata de lei, motivado por relevância e urgência. A aprovação pelo Congresso ocorre posteriormente (para sua conversão em lei).;Tópicos Mesclados / Outros (Previdenciário);Legislação Previdenciária
40;direiro previdenciário;Legislação Previdenciária;As fontes materiais do Direito Previdenciário são representadas pela Constituição Federal e pelas Leis Complementares, que formalizam a criação de direitos, ao passo que as fontes formais representam os anseios e os movimentos sociais em busca de proteção.;E;Os conceitos foram invertidos. Fatores sociais, políticos e econômicos que inspiram a criação de normas são fontes Materiais. A Constituição e as Leis, que manifestam e estruturam o Direito, são fontes Formais estatais.;Legislação Previdenciária;Legislação Previdenciária
41;direiro previdenciário;Auxílio-Acidente;Embora a Constituição Federal assegure que nenhum benefício que substitua o rendimento do trabalho terá valor inferior ao salário mínimo, benefícios como o salário-família e o auxílio-acidente podem ter valor inferior a esse limite.;C;Benefícios que não se prestam ao papel de substituir o rendimento do trabalho (como o salário-família e o auxílio-acidente) não precisam cumprir a regra constitucional do valor mínimo (piso de 1 salário mínimo).;Auxílio-Acidente;Auxílio-Acidente
42;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;Com o advento da Emenda Constitucional nº 103/2019 a Constituição Federal passou a dispor expressamente tanto sobre a idade mínima quanto sobre o tempo de contribuição exigidos para a aposentadoria programada (voluntária) no Regime Geral de Previdência Social.;E;A Constituição Federal dispõe apenas sobre a idade mínima para a aposentadoria programada. O texto constitucional não traz mais o tempo mínimo de contribuição exigido, cabendo à lei ordinária dispor sobre isso (ou lei complementar no caso de professores).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
43;direiro previdenciário;Recursos das Decisões Administrativas;É vedado o aporte de recursos a entidade de previdência privada pela União Estados DF e Municípios salvo na qualidade de patrocinador hipótese em que a sua contribuição normal poderá excepcionalmente exceder a do segurado associado.;E;A Constituição (Art. 202, § 3º) é clara ao definir que a participação dos entes públicos como patrocinadores é permitida, mas em hipótese alguma a contribuição pública poderá exceder a do segurado.;Recursos das Decisões Administrativas;Recursos das Decisões Administrativas
44;direiro previdenciário;Das Inscrições (RGPS);O brasileiro civil que trabalha para a União no exterior em organismos oficiais internacionais dos quais o Brasil seja membro efetivo é considerado segurado obrigatório na categoria de empregado ainda que amparado pela legislação previdenciária do país de domicílio.;E;Nessa condição o indivíduo é segurado na categoria de empregado SALVO se estiver amparado pela legislação previdenciária do país de domicílio. Se tiver amparo no país onde trabalha não será segurado do RGPS.;Legislação Previdenciária;Das Inscrições (RGPS)
45;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O servidor da União Estado Distrito Federal ou Município ocupante exclusivamente de cargo em comissão declarado em lei de livre nomeação e exoneração é enquadrado como segurado obrigatório do RGPS na categoria de empregado.;C;Como não possui vínculo efetivo (logo não está amparado por Regime Próprio de Previdência - RPPS) o exercente exclusivamente de cargo em comissão filia-se obrigatoriamente ao RGPS como empregado.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
46;direiro previdenciário;Empregado Doméstico (RGPS);O trabalhador que presta serviços de forma contínua subordinada onerosa e pessoal a uma família no âmbito residencial desta em atividade sem fins lucrativos será considerado empregado doméstico se o labor ocorrer por no mínimo dois dias por semana.;E;A legislação e o Decreto 3.048/99 exigem que o serviço seja prestado por MAIS de dois dias por semana (ou seja a partir de três dias) para caracterizar o vínculo de empregado doméstico. Se for até 2 dias é considerado diarista (contribuinte individual).;Empregado Doméstico (RGPS);Empregado Doméstico (RGPS)
47;direiro previdenciário;Empregado e Trabalhador Avulso (RGPS);Para ser enquadrado como trabalhador avulso exige-se que o profissional seja obrigatoriamente sindicalizado uma vez que a intermediação de sua mão de obra é feita com exclusividade pelo sindicato da categoria ou pelo Órgão Gestor de Mão de Obra (OGMO).;E;A lei define que o trabalhador avulso (portuário ou não portuário) atua com intermediação obrigatória do OGMO ou do Sindicato sendo ele SINDICALIZADO OU NÃO (uma vez que no Brasil a sindicalização não pode ser imposta).;Empregado e Trabalhador Avulso (RGPS);Empregado e Trabalhador Avulso (RGPS)
48;direiro previdenciário;Contribuinte Individual (RGPS);O síndico eleito para exercer atividade de direção condominial que não recebe remuneração direta mas é isento do pagamento da taxa de condomínio em razão do cargo exercido é considerado segurado obrigatório do RGPS na categoria de contribuinte individual.;C;A isenção da taxa condominial possui natureza remuneratória para fins previdenciários enquadrando o síndico obrigatoriamente no RGPS como contribuinte individual.;Contribuinte Individual (RGPS);Contribuinte Individual (RGPS)
49;direiro previdenciário;Segurado Especial (RGPS);A pessoa física que explora atividade de extração mineral (garimpeiro) caso atue em estrito regime de economia familiar sem auxílio de empregados é enquadrada no RGPS na condição de segurado especial.;E;O garimpeiro mesmo que exerça atividade em regime de economia familiar é expressamente enquadrado pela lei como segurado CONTRIBUINTE INDIVIDUAL e não como segurado especial.;Segurado Especial (RGPS);Segurado Especial (RGPS)
50;direiro previdenciário;Contribuinte Individual (RGPS);O produtor rural que explora atividade agropecuária em área superior a 4 (quatro) módulos fiscais será enquadrado como segurado contribuinte individual independentemente de utilizar ou não o auxílio de empregados permanentes.;C;Passou de 4 módulos fiscais a pessoa já perde a condição de segurado especial e passa a ser contribuinte individual tenha ela empregados ou não.;Contribuinte Individual (RGPS);Contribuinte Individual (RGPS)
51;direiro previdenciário;Segurado Especial (RGPS);A exploração da atividade turística da propriedade rural inclusive com hospedagem por até 120 dias ao ano de forma contínua ou descontínua não descaracteriza a condição de segurado especial do produtor rural.;C;É uma das exceções permitidas por lei que não retiram a qualidade de segurado especial desde que respeitado o limite legal de até 120 dias ao ano.;Segurado Especial (RGPS);Segurado Especial (RGPS)
52;direiro previdenciário;Segurado Especial (RGPS);O segurado especial perde sua qualificação previdenciária diferenciada caso contrate qualquer tipo de empregado ainda que por prazo determinado (eventual ou safrista) dada a exigência rigorosa do regime de economia familiar.;E;O grupo familiar do segurado especial pode contratar empregados por prazo determinado à razão de no máximo 120 (cento e vinte) pessoas/dia no ano civil sem perder a qualidade de segurado especial.;Segurado Especial (RGPS);Segurado Especial (RGPS)
53;direiro previdenciário;Segurado Facultativo (RGPS);A idade mínima para que uma pessoa física estudante ou dona de casa possa se filiar ao Regime Geral de Previdência Social na qualidade de segurado facultativo é de 14 anos desde que preenchidos os requisitos formais de inscrição.;E;A idade mínima para filiação do segurado facultativo é de 16 anos. A idade de 14 anos só é admitida constitucionalmente no RGPS para o segurado obrigatório na condição de menor aprendiz.;Segurado Facultativo (RGPS);Segurado Facultativo (RGPS)
54;direiro previdenciário;Segurado Especial (RGPS);A inscrição post mortem (após a morte) no RGPS é admitida exclusivamente para os dependentes que comprovem que o de cujus exercia atividade rural na condição de segurado especial sendo vedada tal prática para o contribuinte individual e o facultativo.;C;A lei veda expressamente a inscrição post mortem de segurado facultativo e de contribuinte individual permitindo-a apenas para o segurado especial (que já possuía a filiação pelos fatos do seu labor no campo).;Segurado Especial (RGPS);Segurado Especial (RGPS)
55;direiro previdenciário;Das Inscrições (RGPS);Para os segurados obrigatórios do RGPS a filiação decorre automaticamente do exercício de atividade remunerada lícita enquanto a inscrição é apenas o ato formal de cadastramento (de natureza declaratória) perante a Previdência Social.;C;A filiação é o vínculo gerado pelo simples exercício da atividade (fato gerador) enquanto a inscrição é o mero ato formal de registro do indivíduo no sistema.;Filiação e Inscrição;Das Inscrições (RGPS)
56;direiro previdenciário;Da Manutenção e da Perda da Qualidade de Segurado;O período de manutenção da qualidade de segurado de até 12 meses garantido ao empregado após a cessação das contribuições poderá ser prorrogado por mais 12 meses caso o segurado comprove estar em situação de desemprego involuntário (totalizando até 24 meses de período de graça).;C;O período de graça padrão de 12 meses para os segurados obrigatórios pode ser acrescido de mais 12 meses em caso de desemprego involuntário comprovado no órgão próprio ou por outros meios de prova em direito admitidos.;Da Manutenção e da Perda da Qualidade de Segurado;Da Manutenção e da Perda da Qualidade de Segurado
57;direiro previdenciário;Auxílio-Reclusão;O segurado que for detido ou recluso manterá a qualidade de segurado apenas durante o tempo de segregação perdendo o vínculo previdenciário no exato dia em que for posto em liberdade caso não retome imediatamente as contribuições.;E;A lei garante um período de graça de ATÉ 12 MESES após o livramento para o segurado detido ou recluso (desde que ele já fosse segurado no momento em que foi preso).;Auxílio-Reclusão;Auxílio-Reclusão
58;direiro previdenciário;Assistência Social (LOAS/BPC);O segurado facultativo que parar de recolher as suas contribuições previdenciárias manterá a qualidade de segurado por um período de graça de até 12 meses aplicáveis idênticos critérios de extensão previstos para os segurados obrigatórios.;E;O período de graça para o segurado facultativo é de apenas 6 meses após a cessação das contribuições e a lei não prevê para ele as prorrogações atreladas ao desemprego ou às 120 contribuições que existem para os obrigatórios.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
59;direiro previdenciário;Das Inscrições (RGPS);As anotações de vínculos empregatícios lançadas na Carteira de Trabalho e Previdência Social (CTPS) sem defeito formal que comprometa a sua fidedignidade gozam de presunção relativa de veracidade valendo como prova mesmo que não constem no CNIS.;C;De acordo com o entendimento sumulado (Súmula 75 da TNU) a CTPS devidamente assinada e sem rasuras faz prova do vínculo mesmo que a empresa não tenha repassado a informação correta ao CNIS.;Tópicos Mesclados / Outros (Previdenciário);Das Inscrições (RGPS)
60;direiro previdenciário;Das Inscrições (RGPS);A perda da qualidade de segurado ocorre instantaneamente no dia seguinte ao término exato do período de graça de 6 12 ou 24 meses do trabalhador restando-lhe buscar uma nova filiação caso precise de auxílio-doença neste dia.;E;A perda não é instantânea ao final do prazo (6 12 ou 24 meses). O reconhecimento da perda se dá no DIA SEGUINTE ao do vencimento da contribuição previdenciária referente ao mês imediatamente posterior ao do término do período de graça (em regra a perda ocorre no dia 16 do mês posterior).;Filiação e Inscrição;Das Inscrições (RGPS)
61;direiro previdenciário;Pensão por Morte;De acordo com o entendimento do STF, a pessoa que manteve, durante longo período, relação de concubinato com segurado casado tem direito a concorrer em igualdade de condições à pensão por morte junto com a esposa legítima, desde que comprove a dependência econômica.;E;O STF (Temas 526 e 529) fixou a tese de que o concubinato não se equipara às uniões afetivas resultantes do casamento e da união estável, não tendo proteção previdenciária (não gera direito à pensão por morte).;Pensão por Morte;Pensão por Morte
